मार्गे एकस्याः वेश्यायाः आवासः आसीत्।	வழியில், ஒரு விபச்சாரியின் குடியிருப்பு இருந்தது.
"एकदा सा अपि भिक्षां दत्त्वा सप्रणामं सन्यासिनं पृष्टवती - ""भगवन्! भवान् स्त्री अस्ति अथवा पुरुषः?"""	"ஒருமுறை, அன்னதானம் செய்தபின், அவள் துறந்தவரிடம் மரியாதையுடன் கேட்டாள்: ""பகவானே, நீங்கள் ஒரு பெண்ணா அல்லது ஆணா?"""
"संन्यासी उत्तरम् दत्तवान् - ""पुत्रि! तव प्रश्नस्य उत्तरं पश्चात् प्राप्स्यसि।"""	"துறந்தவர் பதிலளித்தார்: ""மகளே! உங்கள் கேள்விக்கான பதிலை நீங்கள் பின்னர் பெறுவீர்கள்."""
उत्तरस्य प्रतीक्षायां बहूनि दिनानि निर्गतानि।	பதிலுக்காக (உத்தர) காத்திருந்து பல நாட்கள் கடந்துவிட்டன.
कतिपयदिनेभ्यः संन्यासिनः भिक्षार्थम् आगमनं न अभवत्।	சில நாட்களாக பிச்சை எடுக்க ஆட்கள் வரவில்லை.
तस्य अन्तसमयः निकटे आसीत्।	அவனுடைய இறுதி நேரம் நெருங்கிவிட்டது.
"सः वेश्याम् आहूय कथितवान् - ""पुत्रि! तव प्रश्नस्य उत्तरं ददामि यत् अहं पुरुषः अस्मि, स्त्री नैव ।"""	"அவர், விபச்சாரியை அழைத்து, ""மகளே! உங்கள் கேள்விக்கு நான் பதில் தருகிறேன், அதாவது நான் ஒரு ஆண், நிச்சயமாக ஒரு பெண் அல்ல."""
"वेश्या अवदत्- ""महाराज! इदं तु भवता पूर्वम् एव कथयितुं शक्यते स्म। इयन्ति दिनानि किं यापितानि?"""	"வேசி சொன்னாள்: ""பெரிய ராஜா! இதை நீங்கள் முன்பே சொல்லியிருக்கலாம். ஏன் இத்தனை நாட்கள் வீணாகின?"""
"संन्यासी अभाषत - ""पुत्रि! अहम् इदम् एव स्वस्मिन् परीक्षमाणः आसम्। केवलं पुरुषस्य शरीरस्य धारणेन एव कश्चित् पुरुषः न भवति। यः मायायाः भोगेषु आसक्तः तिष्ठति,  सः जनः मायायाः अधीनतया स्त्री भवति। यः तथा न भवति, सः एव पुरुषः। पुरुषः तु मायापतिः एकः एव। अहम् अधुना तम् एव शरणं गच्छामि। माया स्वजाले मां पातयितुं न शक्नोति। अतः निश्चयेन कथयामि यत् अहं पुरुषः एव अस्मि"""	"துறந்தவர் கூறினார்: ""மகளே! இதையே நானே ஆராய்ந்து கொண்டிருந்தேன். வெறும் மனித உடலைக் கொண்டிருப்பதால், ஒருவன் *புருஷ* (ஆண்) ஆக மாட்டான். *மாயா* (மாயை)யின் இன்பங்களில் பற்றுக்கொண்டவன், *மாயா*வின் கட்டுப்பாட்டில் இருப்பதால், பெண்ணாக மாறுகிறான். *புருஷா* (மனிதன்), *மாயா*வின் அதிபதி, இப்போது நான் ஒருவரே, *மாயா* என்னை அதன் வலையில் விழச் செய்ய முடியாது."
एवं कथयन् एव सः उच्चैः 'ओम्'	"இவ்வாறு கூறி, அவர் சத்தமாக ""ஓம்"" என்றார்."
