कल्पनालोके विचरणेन किं भवति ?	கற்பனை உலகில் (கல்பனாலோகே) அலைந்ததன் விளைவு என்ன?
आर्जवं हि कुटिलेषु न नीतिः	உண்மையில், வக்கிரமானவர்களிடையே நேர்மையானது புத்திசாலித்தனமான கொள்கை அல்ல.
धूर्तेन धूर्तता कार्या, तत्र दोषो न कश्चन। शठेन शठताकारी, शठेन वञ्च्यते नहि॥	ஒரு முரடனை முரட்டுத்தனமாக நடத்த வேண்டும்; அதில் எந்த தவறும் இல்லை. வஞ்சகமாகச் செயல்படுபவன் வஞ்சகனால் ஏமாற்றப்படுகிறான்; அவர் நேர்மையான நபரால் ஏமாற்றப்படவில்லை.
मम प्रतिवेशी सम्पन्नः तु बहुः अस्ति, किन्तु कृपणः अपि ततः न्यूनः न।	என் பக்கத்து வீட்டுக்காரர் மிகவும் பணக்காரர், ஆனால் அவர் அதைவிடக் கஞ்சத்தனமானவர்.
समाचारपत्रं तु क्रीत्वा पठनं तस्य स्वाभावे एव न वर्तते।	ஆனால் நாளிதழ் வாங்கிப் படிப்பது அவருடைய இயல்பில் இல்லை.
मत्तः एव याचित्वा सः पठति।	என்னிடம் பிச்சை கேட்டு, படிக்கிறார்.
प्रतिदिनं याचनायां सङ्‌कोचम् अनुभवन् सः समाचारपत्रं समाचारपत्रवितरकात् एव गृह्णाति।	ஒவ்வொரு நாளும், கேட்க சங்கடமாக உணர்ந்து, செய்தித்தாள் விநியோகிப்பவரிடமிருந்தே செய்தித்தாளை எடுத்துக்கொள்கிறார்.
पुनः कदाचित् पठितं मह्यं ददाति, कदाचित् च नैव अपि।	மீண்டும், சில சமயங்களில் ஓதப்பட்டதைத் தருகிறார், சில சமயம் கொடுக்கவே மாட்டார்.
अहं तस्य व्यवहारेण अति खिन्नः आसम्।	அவருடைய நடத்தையால் நான் மிகவும் வருத்தப்பட்டேன்.
अतः यदा  वितरकः मासान्ते समाचारपत्रस्य मूल्यं माम् अयाचत, तदा अहं तं प्रतिवेशिनः एव ग्रहीतुं प्रेरितवान्।	எனவே, விநியோகஸ்தர் என்னிடம் பத்திரிகைக்கான மாதச் செலவைக் கேட்டபோது,   பக்கத்து வீட்டுக்காரரிடம் இருந்து வசூலிக்கும்படி அவரை ஊக்கப்படுத்தினேன்.
अनेन रुष्टः प्रतिवेशी माम् उपागत्य मां मूल्यं दातुं बाध्यं कृतवान्।	இதனால் கோபமடைந்த பக்கத்து வீட்டுக்காரர் என்னிடம் வந்து விலையைக் கொடுக்கச் சொன்னார்.
"अहं तु विनम्रतया तं प्रत्यवदम् ""महाशय! समाचारपत्रस्य ग्राहकः तु भवान् एव। अहं तु प्रतिवेशितया भवन्तं याचित्वा पठामि। तद् अहं मूल्यं किं दद्याम्?"""	"ஆனால் நான் அவருக்கு பணிவுடன் பதிலளித்தேன், ""ஓ பெரிய உள்ளம் கொண்டவரே! நீங்கள் செய்தித்தாளின் சந்தாதாரர். ஆனால் பக்கத்து வீட்டுக்காரனாகிய நான் அதை உங்களிடம் கேட்டுப் படித்தேன். அதனால் நான் என்ன விலை கொடுக்க வேண்டும்?"""
सः मम इदम् उत्तरं श्रुत्वा कुपितः तु अतीव अभूत्, मूल्यम् अपि सः एव अनिच्छन् दत्तवान्।	என் பதிலைக் கேட்டு, அவர் மிகவும் கோபமடைந்தார், விருப்பமில்லாமல், அவரே விலையைக் கொடுத்தார்.
परन्तु अग्रे याचित्वा पठनस्य तस्य कुप्रवृत्तिः विलुप्ता इति।	இருப்பினும், பிச்சை எடுப்பது மற்றும் [வேதங்களை] ஓதும் அவரது கெட்ட பழக்கம் எதிர்காலத்தில் அகற்றப்படும்.
मम प्रतिवेशी कीदृशः अस्ति? किं च करोति स्म?	என் அண்டை வீட்டான் எப்படிப்பட்டவன்? மேலும் அவர் என்ன செய்கிறார்?
अहं खिन्नः भूत्वा ततः किं कृतवान्?	சோர்வாக இருந்த நான் என்ன செய்தேன்?
प्रतिवेशी मां किं कर्तुं बाध्यम् अकरोत्?	பக்கத்து வீட்டுக்காரர் ஏன் என்னை வற்புறுத்தினார்?
अहं तदा तं किं प्रत्यवदम्?	அப்போது நான் அவருக்கு என்ன பதில் சொன்னேன்?
मम उत्तरेण सः किं कृतवान्?	என் பதிலை அவர் என்ன செய்தார்?
शारीरकश्रमः स्थौल्यनाशकः	உடல் உழைப்பு உடல் பருமனை அழிக்கிறது.
शारीरिकः श्रमोऽवश्यं, करणीयः सदैव हि। स्थौल्यं नोत्पद्यतेऽनेन, शरीरं स्याच्च कार्यकृत्॥	உடல் உழைப்பு கண்டிப்பாக எப்போதும் செய்யப்பட வேண்டும், ஏனெனில் இதனால் உடல் பருமன் ஏற்படாது, மேலும் உடல் திறமையாக மாறும்.
आसीत् एकः श्रेष्ठी।	பணக்கார வியாபாரி ஒருவர் இருந்தார்.
कर्मचारिणः एव तस्य सर्वं कार्यं कुर्वन्ति स्म।	உண்மையில், அவருக்கான அனைத்து வேலைகளையும் *கர்மச்சாரிகள்* (பணிகளுக்கு ஒதுக்கப்பட்டவர்கள்) செய்தார்கள்.
सः नित्यं पौष्टिकम् आहारं सेवते स्म, परन्तु शारीरिकश्रमात् दूरे पलायते स्म।	அவர் எப்போதும் சத்தான உணவை உட்கொண்டார், ஆனால் அவர் எப்போதும் உடல் உழைப்பைத் தவிர்த்தார்.
अनेन तस्य शरीरे स्थूलता आयाता।	இதனால், அவரது உடல் பருமனாக மாறியது.
चलने भ्रमणे अपि सः असुविधाम् अनुभवति स्म।	நடைப்பயிற்சியிலும், அலைந்து திரிந்ததிலும் கூட, அவர் அசௌகரியத்தை அனுபவித்தார்.
अन्ते स्वनगरे एव निवासिनम् एकं सुप्रसिद्धं चिकित्सकम् उपगत्य सः आत्मीयां व्यथां श्रावितवान् उपचारं च पृष्टवान्।	இறுதியாக, அவர் தனது சொந்த நகரத்தில் வசிக்கும் மிகவும் பிரபலமான மருத்துவரை அணுகி, தனது துன்பத்தை அவரிடம் கூறி சிகிச்சை கேட்டார்.
"चिकित्सकः तं परामृष्टवान् ""अधुना अग्रे दशरूप्यकैः एव एकमासपर्यन्तं स्वीया आहारव्यवस्था करणीया। किन्तु इदम् अवश्यं ध्याने रक्षणीयं यत् तानि दशरूप्यकाणि आत्मीयेन शीरीरिकश्रमेण उपार्जितानि एव भवेयुः"""	"டாக்டர் அவனைப் பரிசோதித்துவிட்டு, ""இப்போது,   அடுத்த மாதம், ஒரு நாளைக்கு பத்து ரூபாயில் மட்டுமே உணவைக் கையாள வேண்டும். ஆனால், அந்த பத்து ரூபாய் உங்கள் சொந்த உடல் உழைப்பால் சம்பாதிக்கப்பட வேண்டும் என்பதை நினைவில் கொள்ள வேண்டும்."""
इति।	இவ்வாறு.
श्रेष्ठिनः शरीरे स्थूलता कथम् आयाता?	வியாபாரியின் உடல் எப்படி இவ்வளவு தடிமனாக மாறியது?
श्रेष्ठी चिकित्सकस्य समीपे किं गतवान्‌?	வணிகர் ஏன் மருத்துவரிடம் சென்றார்?
चिकित्सकः श्रेष्ठिने कीदृशं परामर्शं दत्तवान्?	வியாபாரிக்கு மருத்துவர் என்ன அறிவுரை கூறினார்?
शरीरे स्थूलता कदा उत्पन्ना न भवति?	எப்பொழுது உடலில் ஸ்தூலத்தன்மை எழாது?
इयं कथा किं शिक्षयति?	இந்தக் கதை என்ன கற்பிக்கிறது?
लिखितं सुस्थिरं सदा	எப்பொழுதும் உறுதியாக எழுதப்பட்டவை.
उच्छलन्तो विचाराश्चेल्लिख्यन्ते सत्वरं स्वयम्। तर्हि ते सुस्थिरा भूत्वा जायन्ते राष्ट्रसम्पदः॥	எழும் எண்ணங்கள் தானே விரைவாக எழுதப்பட்டால், அவை நிலையானதாகி, தேசத்தின் செல்வமாக மாறும்.
एकदा कविराजं द्रष्टुम् तस्य सुहृत् प्रातः तस्य गृहम् अगच्छत्।	ஒருமுறை கவிராஜாவின் நண்பர் ஒருவர் அவரைப் பார்க்க காலையில் அவரது வீட்டிற்குச் சென்றார்.
ततः इदं ज्ञात्वा यत् 'सः तु रात्रौ भुक्त्वा पीत्वा गृहात् किञ्चित् दूरे एव स्वसम्बन्धिनः इन्धनविपणौ गतः'	"பின்னர், ""அவர், உண்மையில், இரவில் சாப்பிட்டு, குடித்துவிட்டு, வீட்டிலிருந்து தனது உறவினரின் எரிபொருள் கடைக்கு சிறிது தூரம் மட்டுமே சென்றார்"" என்று அறிந்தார்."
तत्र एव अगमत्।	அங்கு, உண்மையில், அவர் சென்றார்.
तत्र तेन दृष्टं यत् सः खट्वायां सुप्तः अस्ति।	அங்கு அவர் கட்டிலில் உறங்கிக் கொண்டிருப்பது தெரிந்தது.
"यदा मित्रं तस्य आवरणम् अपसारयितुं प्रावर्तत, तदा कविराजः कथितवान् - ""नहि नहि, एवं मा कुरु। पूर्वं मम गृहतः पादयामम् आनय। अहं सर्वथा नग्नः अस्मि।"""	"அவனுடைய நண்பன் அவனிடம் இருந்து மூடியை கழற்றத் தொடங்கியபோது,   கவிஞர், ""இல்லை, இல்லை, அதைச் செய்யாதே. முதலில், என் வீட்டிலிருந்து என் செருப்புகளைக் கொண்டு வாருங்கள். நான் முழு நிர்வாணமாக இருக்கிறேன் (sarvathā nagnaḥ asmi)"" என்றார்."
सहृत् तथा एव कृतवान्।	கருணை உள்ளம் படைத்தவர் அதைத்தான் செய்தார்.
